Customer ID,Name,Address,Phone Number,Order Frequency,Latitude,Longitude,Total Spend
1,Morgan Miller,"3871 Pine St, Chicago, CA 61204",740-188-1791,10,41.594931,-86.538644,256.58
2,Alex Jones,"2256 Main St, New York, AZ 85824",(821) 242-1461,45,41.208164,-81.406966,1199.32
3,Jordan Williams,"7208 Pine St, Houston, IL 10633",(935) 533-3098,48,37.112489,-108.529631,2940.36
4,Alex Jones,"9654 Main St, Chicago, AZ 29989",908.146.3028,3,39.408358,-115.697062,4940.79
5,Casey Johnson,"1489 Oak St, Houston, IL 47427",(808) 949-6016,24,40.186664,-85.615365,923.36
6,John Jones,"7889 Oak St, Houston, NY 97294",784.820.2237,26,36.827173,-79.95719,4681.6
7,Chris Martinez,"5415 Main St, New York, CA 29643",(647) 678-5633,9,37.426503,-82.393833,3493.74
8,Morgan Smith,"3356 Oak St, Houston, NY 66502",(593) 206-4982,9,41.842285,-100.8156,3051.08
9,Casey Davis,"2221 Pine St, New York, CA 12749",319-105-6542,14,39.896775,-107.982332,3269.96
10,Morgan Jones,"6626 Elm St, Phoenix, CA 51972",349.624.3338,13,39.36067,-79.254565,2520.68
11,Taylor Smith,"2324 Oak St, New York, TX 76338",108.571.4395,18,37.746304,-104.761818,4927.37
12,Chris Brown,"2613 Main St, Chicago, TX 34265",(663) 606-9206,23,40.902107,-98.147717,1494.95
13,Pat Miller,"6659 Pine St, Los Angeles, AZ 87193",(713) 225-6125,32,38.233047,-102.936211,1864.71
14,Pat Smith,"5468 Cedar Ave, Los Angeles, IL 99430",(646) 753-8400,29,37.075252,-87.901658,347.28
15,Jordan Davis,"3080 Cedar Ave, Los Angeles, NY 24553",145-498-7303,43,37.423819,-95.414589,1983.63
16,Chris Smith,"3090 Main St, Phoenix, TX 55178",501.721.1134,13,41.90628,-93.434791,4264.9
17,Chris Garcia,"4400 Main St, Houston, TX 40046",611-170-9066,47,40.663224,-79.819084,3715.89
18,Chris Rodriguez,"5077 Main St, Chicago, IL 10475",374-684-8195,2,35.938217,-80.642268,2434.13
19,Casey Johnson,"5359 Oak St, Phoenix, IL 54543",192.142.1481,32,38.225195,-82.794889,2156.12
20,Alex Jones,"5081 Main St, New York, IL 61451",(185) 658-6502,7,41.675431,-74.90746,124.92
21,Sam Miller,"9866 Oak St, Phoenix, CA 88079",327.776.4736,40,36.312013,-84.810573,2242.43
22,John Rodriguez,"2387 Cedar Ave, New York, IL 24057",(888) 174-5964,39,35.030092,-74.294314,641.19
23,Sam Martinez,"2394 Pine St, Phoenix, AZ 23780",515.829.9405,43,39.663511,-99.548879,1353.46
24,Alex Brown,"3678 Pine St, Los Angeles, AZ 87819",533-290-9047,47,35.359618,-76.800052,961.73
25,Jane Martinez,"8480 Elm St, Los Angeles, CA 53017",810-652-6836,49,41.269478,-103.206062,4921.51
26,Jordan Garcia,"9397 Elm St, New York, IL 36916",699-848-5129,13,36.476781,-80.532512,204.51
27,Morgan Williams,"9583 Elm St, Houston, AZ 19898",360-713-2872,50,40.183647,-105.571555,1678.76
28,Chris Rodriguez,"1338 Elm St, Chicago, AZ 54845",487-253-5209,46,34.403472,-85.447666,1004.62
29,Alex Johnson,"2029 Pine St, New York, CA 38521",(827) 976-4519,21,39.299518,-114.90821,4396.15
30,Pat Smith,"7083 Main St, Los Angeles, CA 26765",378-940-9854,10,36.382089,-83.591462,4943.61
31,Jane Davis,"8579 Main St, Houston, NY 76361",751-391-5900,35,38.377449,-112.34298,880.07
32,Pat Davis,"5598 Main St, Chicago, TX 82425",922.120.9660,33,36.407679,-73.98143,3342.12
33,Casey Williams,"7423 Main St, Phoenix, AZ 96435",(560) 985-9528,42,35.194367,-108.818408,2966.62
34,Pat Jones,"2463 Main St, Los Angeles, CA 87584",791.484.6621,30,39.39712,-82.170237,3679.33
35,Jordan Brown,"8367 Cedar Ave, New York, IL 99125",430-987-1102,37,35.595209,-85.757195,4786.05
36,Alex Johnson,"1754 Main St, Chicago, IL 10832",(512) 284-7390,25,40.346661,-80.884717,2174.5
37,John Davis,"801 Cedar Ave, New York, NY 31266",(784) 495-1675,22,39.597218,-93.82282,1502.41
38,Chris Garcia,"9429 Elm St, Los Angeles, TX 39699",593-199-5924,7,35.661734,-83.454806,1900.11
39,Sam Williams,"8105 Elm St, New York, CA 62848",445-233-9240,14,39.484428,-83.521345,4664.75
40,Casey Smith,"6893 Cedar Ave, Phoenix, CA 36111",283.793.8676,48,39.124358,-92.601756,2427.37
41,Taylor Garcia,"4563 Cedar Ave, New York, NY 27142",(134) 929-4991,21,36.946008,-81.108941,717.79
42,Jordan Davis,"8293 Oak St, New York, AZ 43806",(176) 704-7394,28,35.473463,-103.68773,4277.59
43,Pat Johnson,"4035 Oak St, Los Angeles, IL 20250",325.117.4232,35,37.468975,-99.421301,2255.63
44,Taylor Williams,"7802 Cedar Ave, Houston, IL 21456",722-836-5942,35,38.086114,-78.819846,808.54
45,Jordan Garcia,"9325 Cedar Ave, Los Angeles, TX 66893",784-234-2484,43,40.539188,-74.666424,2056.6
46,Casey Rodriguez,"6461 Pine St, Phoenix, TX 62674",338.102.2570,48,39.032178,-105.010135,342.69
47,Pat Johnson,"7686 Main St, Chicago, CA 33825",467-848-7634,36,40.317259,-91.351494,4255.95
48,Jane Brown,"9121 Oak St, Houston, AZ 28169",608-943-8920,39,41.5829,-108.528407,4942.33
49,Morgan Miller,"5193 Pine St, Phoenix, CA 28868",(429) 522-5927,40,37.475152,-74.412458,3653.63
50,Chris Brown,"6483 Elm St, Houston, TX 57789",456.477.9247,22,36.019867,-110.315647,752.31
51,Chris Smith,"9002 Main St, Houston, NY 26573",(918) 948-5801,14,40.95654,-74.130094,3834.84
52,Jordan Brown,"8515 Main St, Chicago, CA 72186",186-127-7130,6,39.456968,-91.507418,1777.36
53,Alex Rodriguez,"9582 Oak St, Phoenix, AZ 73933",550.599.9546,10,38.474657,-102.725291,1642.37
54,Casey Jones,"9230 Oak St, Chicago, IL 79481",(732) 382-3868,21,39.283025,-108.980239,4053.33
55,John Martinez,"8836 Oak St, Los Angeles, AZ 28776",(990) 715-7880,33,39.473293,-115.227984,3629.6
56,Taylor Johnson,"4212 Oak St, Los Angeles, TX 70909",285.145.3583,20,34.797622,-111.730649,1827.67
57,Chris Garcia,"1128 Main St, New York, AZ 16309",511.121.8221,47,39.595375,-74.883011,317.68
58,Sam Smith,"2977 Pine St, New York, IL 69854",708-910-7894,18,35.565255,-92.409746,1842.6
59,Casey Brown,"1604 Elm St, Phoenix, TX 30455",291-840-7495,25,40.056683,-83.595128,3154.92
60,Jordan Jones,"8785 Main St, Phoenix, TX 18376",814.902.2982,17,41.700608,-115.641099,3020.91
61,Casey Rodriguez,"3504 Pine St, New York, IL 93954",(384) 800-9704,30,35.298645,-81.735199,544.95
62,Jordan Smith,"8819 Oak St, New York, AZ 20250",572-973-8237,25,41.726225,-81.373549,4964.14
